Housing type,Occupancy status,Income tenant,Heating energy,Energy performance,NB_LOG
Single-family,Privately rented,D8,Electricity,F,11484.35861
Multi-family,Social-housing,D8,Electricity,F,4091.581409
Single-family,Social-housing,D8,Electricity,F,1716.096767
Multi-family,Owner-occupied,D8,Electricity,F,19584.48639
Single-family,Owner-occupied,D8,Electricity,F,65374.81217
Multi-family,Privately rented,D9,Electricity,F,37866.89186
Single-family,Privately rented,D9,Electricity,F,9441.692868
Multi-family,Social-housing,D9,Electricity,F,3233.520152
Single-family,Social-housing,D9,Electricity,F,1004.838155
Multi-family,Owner-occupied,D9,Electricity,F,25183.14587
Single-family,Owner-occupied,D9,Electricity,F,64282.93569
Multi-family,Privately rented,D10,Electricity,F,56631.35293
Single-family,Privately rented,D10,Electricity,F,6575.891103
Multi-family,Social-housing,D10,Electricity,F,2180.394436
Single-family,Social-housing,D10,Electricity,F,314.660787
Multi-family,Owner-occupied,D10,Electricity,F,45159.47582
Single-family,Owner-occupied,D10,Electricity,F,51431.4152
Multi-family,Privately rented,D1,Natural gas,F,27788.17349
Single-family,Privately rented,D1,Natural gas,F,4661.300103
Multi-family,Social-housing,D1,Natural gas,F,17486.54811
Single-family,Social-housing,D1,Natural gas,F,2734.235803
Multi-family,Owner-occupied,D1,Natural gas,F,4889.767013
Single-family,Owner-occupied,D1,Natural gas,F,10647.47204
Multi-family,Privately rented,D2,Natural gas,F,14924.60205
Single-family,Privately rented,D2,Natural gas,F,5483.938678
Multi-family,Social-housing,D2,Natural gas,F,14996.3092
Single-family,Social-housing,D2,Natural gas,F,3514.64717
Multi-family,Owner-occupied,D2,Natural gas,F,4602.666069
Single-family,Owner-occupied,D2,Natural gas,F,16527.16682
Multi-family,Privately rented,D3,Natural gas,F,11982.08865
Single-family,Privately rented,D3,Natural gas,F,5411.106056
Multi-family,Social-housing,D3,Natural gas,F,9885.553797
Single-family,Social-housing,D3,Natural gas,F,3083.263939
Multi-family,Owner-occupied,D3,Natural gas,F,5676.819601
Single-family,Owner-occupied,D3,Natural gas,F,24860.4693
Multi-family,Privately rented,D4,Natural gas,F,11524.50848
Single-family,Privately rented,D4,Natural gas,F,5174.079277
Multi-family,Social-housing,D4,Natural gas,F,8561.144813
Single-family,Social-housing,D4,Natural gas,F,2527.754897
Multi-family,Owner-occupied,D4,Natural gas,F,6729.6669
Single-family,Owner-occupied,D4,Natural gas,F,30502.55231
Multi-family,Privately rented,D5,Natural gas,F,10888.78519
Single-family,Privately rented,D5,Natural gas,F,4679.080325
Multi-family,Social-housing,D5,Natural gas,F,6767.824759
Single-family,Social-housing,D5,Natural gas,F,1806.270825
Multi-family,Owner-occupied,D5,Natural gas,F,7624.36063
Single-family,Owner-occupied,D5,Natural gas,F,33492.65935
Multi-family,Privately rented,D6,Natural gas,F,10484.39306
Single-family,Privately rented,D6,Natural gas,F,4313.256026
Multi-family,Social-housing,D6,Natural gas,F,5080.805452
Single-family,Social-housing,D6,Natural gas,F,1317.132709
Multi-family,Owner-occupied,D6,Natural gas,F,8384.0815
Single-family,Owner-occupied,D6,Natural gas,F,34459.28882
Multi-family,Privately rented,D7,Natural gas,F,10565.92013
Single-family,Privately rented,D7,Natural gas,F,4214.901395
Multi-family,Social-housing,D7,Natural gas,F,4163.376561
Single-family,Social-housing,D7,Natural gas,F,873.2720311
Multi-family,Owner-occupied,D7,Natural gas,F,9594.253982
Single-family,Owner-occupied,D7,Natural gas,F,35095.5389
Multi-family,Privately rented,D8,Natural gas,F,10563.03482
Single-family,Privately rented,D8,Natural gas,F,3723.631575
Multi-family,Social-housing,D8,Natural gas,F,3173.625032
Single-family,Social-housing,D8,Natural gas,F,648.7006948
Multi-family,Owner-occupied,D8,Natural gas,F,11215.38909
Single-family,Owner-occupied,D8,Natural gas,F,37202.83063
Multi-family,Privately rented,D9,Natural gas,F,10751.38836
Single-family,Privately rented,D9,Natural gas,F,3255.469205
Multi-family,Social-housing,D9,Natural gas,F,2789.517382
Single-family,Social-housing,D9,Natural gas,F,321.9472529
Multi-family,Owner-occupied,D9,Natural gas,F,14064.99784
Single-family,Owner-occupied,D9,Natural gas,F,37185.99243
Multi-family,Privately rented,D10,Natural gas,F,15741.77754
Single-family,Privately rented,D10,Natural gas,F,2750.250211
Multi-family,Social-housing,D10,Natural gas,F,2118.033223
Single-family,Social-housing,D10,Natural gas,F,125.7856399
Multi-family,Owner-occupied,D10,Natural gas,F,22594.12693
Single-family,Owner-occupied,D10,Natural gas,F,34014.02074
Multi-family,Privately rented,D1,Others,G,3978.317138
Single-family,Privately rented,D1,Others,G,7461.912833
Multi-family,Social-housing,D1,Others,G,2005.698794
Single-family,Social-housing,D1,Others,G,596.955292
Multi-family,Owner-occupied,D1,Others,G,893.9531744
Single-family,Owner-occupied,D1,Others,G,26992.71039
Multi-family,Privately rented,D2,Others,G,2587.924107
Single-family,Privately rented,D2,Others,G,7842.261767
Multi-family,Social-housing,D2,Others,G,1798.255363
Single-family,Social-housing,D2,Others,G,625.0991019
Multi-family,Owner-occupied,D2,Others,G,810.1134817
Single-family,Owner-occupied,D2,Others,G,34176.48588
Multi-family,Privately rented,D3,Others,G,2431.847156
Single-family,Privately rented,D3,Others,G,8657.682207
Multi-family,Social-housing,D3,Others,G,1219.265671
Single-family,Social-housing,D3,Others,G,556.3424816
Multi-family,Owner-occupied,D3,Others,G,1017.501294
Single-family,Owner-occupied,D3,Others,G,46964.13758
Multi-family,Privately rented,D4,Others,G,2214.756006
Single-family,Privately rented,D4,Others,G,7482.114837
Multi-family,Social-housing,D4,Others,G,1038.476607
Single-family,Social-housing,D4,Others,G,429.6369876
Multi-family,Owner-occupied,D4,Others,G,1091.507399
Single-family,Owner-occupied,D4,Others,G,46161.38486
Multi-family,Privately rented,D5,Others,G,2018.741737
Single-family,Privately rented,D5,Others,G,6086.431579
Multi-family,Social-housing,D5,Others,G,844.666706
Single-family,Social-housing,D5,Others,G,310.9156828
Multi-family,Owner-occupied,D5,Others,G,1230.929417
Single-family,Owner-occupied,D5,Others,G,43198.5799
Multi-family,Privately rented,D6,Others,G,1785.029354
Single-family,Privately rented,D6,Others,G,5268.752691
Multi-family,Social-housing,D6,Others,G,627.0538557
Single-family,Social-housing,D6,Others,G,240.4215674
Multi-family,Owner-occupied,D6,Others,G,1208.436912
Single-family,Owner-occupied,D6,Others,G,39982.93253
Multi-family,Privately rented,D7,Others,G,1906.216804
Single-family,Privately rented,D7,Others,G,5119.432605
Multi-family,Social-housing,D7,Others,G,560.3681175
Single-family,Social-housing,D7,Others,G,178.1196763
Multi-family,Owner-occupied,D7,Others,G,1302.527143
Single-family,Owner-occupied,D7,Others,G,38092.83582
Multi-family,Privately rented,D8,Others,G,1676.963364
Single-family,Privately rented,D8,Others,G,4467.988305
Multi-family,Social-housing,D8,Others,G,442.4035298
Single-family,Social-housing,D8,Others,G,115.4155102
Multi-family,Owner-occupied,D8,Others,G,1388.998334
Single-family,Owner-occupied,D8,Others,G,36032.78097
Multi-family,Privately rented,D9,Others,G,1819.030774
Single-family,Privately rented,D9,Others,G,3771.778433
Multi-family,Social-housing,D9,Others,G,379.2085828
Single-family,Social-housing,D9,Others,G,61.80493215
Multi-family,Owner-occupied,D9,Others,G,1529.238903
Single-family,Owner-occupied,D9,Others,G,30736.89208
Multi-family,Privately rented,D10,Others,G,2409.470952
Single-family,Privately rented,D10,Others,G,2329.693652
Multi-family,Social-housing,D10,Others,G,334.6098684
Single-family,Social-housing,D10,Others,G,23.14115428
Multi-family,Owner-occupied,D10,Others,G,2312.502961
Single-family,Owner-occupied,D10,Others,G,21189.38544
Multi-family,Privately rented,D1,Electricity,G,135789.7291
Single-family,Privately rented,D1,Electricity,G,17589.49489
Multi-family,Social-housing,D1,Electricity,G,8714.345651
Single-family,Social-housing,D1,Electricity,G,1948.18318
Multi-family,Owner-occupied,D1,Electricity,G,9309.862328
Single-family,Owner-occupied,D1,Electricity,G,26315.09203
Multi-family,Privately rented,D2,Electricity,G,45389.51237
Single-family,Privately rented,D2,Electricity,G,15309.88477
Multi-family,Social-housing,D2,Electricity,G,6117.98179
Single-family,Social-housing,D2,Electricity,G,2105.136518
Multi-family,Owner-occupied,D2,Electricity,G,5645.538366
Single-family,Owner-occupied,D2,Electricity,G,27859.21895
Multi-family,Privately rented,D3,Electricity,G,35866.97099
Single-family,Privately rented,D3,Electricity,G,15873.45221
Multi-family,Social-housing,D3,Electricity,G,4316.99048
Single-family,Social-housing,D3,Electricity,G,1838.087442
Multi-family,Owner-occupied,D3,Electricity,G,6431.35825
Single-family,Owner-occupied,D3,Electricity,G,39842.39389
Multi-family,Privately rented,D4,Electricity,G,32019.83003
Single-family,Privately rented,D4,Electricity,G,14323.14105
Multi-family,Social-housing,D4,Electricity,G,3456.474773
Single-family,Social-housing,D4,Electricity,G,1532.828658
Multi-family,Owner-occupied,D4,Electricity,G,6834.086923
Single-family,Owner-occupied,D4,Electricity,G,42599.09763
Multi-family,Privately rented,D5,Electricity,G,29370.0315
Single-family,Privately rented,D5,Electricity,G,13069.71297
Multi-family,Social-housing,D5,Electricity,G,2981.80279
Single-family,Social-housing,D5,Electricity,G,1172.076461
Multi-family,Owner-occupied,D5,Electricity,G,8006.179616
Single-family,Owner-occupied,D5,Electricity,G,44213.89935
Multi-family,Privately rented,D6,Electricity,G,29605.8633
Single-family,Privately rented,D6,Electricity,G,11570.66262
Multi-family,Social-housing,D6,Electricity,G,2442.462008
Single-family,Social-housing,D6,Electricity,G,840.0340693
Multi-family,Owner-occupied,D6,Electricity,G,9066.658143
Single-family,Owner-occupied,D6,Electricity,G,43663.47321
Multi-family,Privately rented,D7,Electricity,G,32090.40939
Single-family,Privately rented,D7,Electricity,G,10851.22889
Multi-family,Social-housing,D7,Electricity,G,2090.988608
Single-family,Social-housing,D7,Electricity,G,648.042904
Multi-family,Owner-occupied,D7,Electricity,G,10793.16151
Single-family,Owner-occupied,D7,Electricity,G,42327.46065
Multi-family,Privately rented,D8,Electricity,G,30792.5024
Single-family,Privately rented,D8,Electricity,G,9528.015184
Multi-family,Social-housing,D8,Electricity,G,1593.083039
Single-family,Social-housing,D8,Electricity,G,422.6513146
Multi-family,Owner-occupied,D8,Electricity,G,12390.53644
Single-family,Owner-occupied,D8,Electricity,G,41430.80153
Multi-family,Privately rented,D9,Electricity,G,31403.89942
Single-family,Privately rented,D9,Electricity,G,8051.862466
Multi-family,Social-housing,D9,Electricity,G,1517.84824
Single-family,Social-housing,D9,Electricity,G,245.1628781
Multi-family,Owner-occupied,D9,Electricity,G,15959.5019
Single-family,Owner-occupied,D9,Electricity,G,39277.40291
Multi-family,Privately rented,D10,Electricity,G,48544.18659
Single-family,Privately rented,D10,Electricity,G,5216.572199
Multi-family,Social-housing,D10,Electricity,G,1411.400859
Single-family,Social-housing,D10,Electricity,G,99.09286576
Multi-family,Owner-occupied,D10,Electricity,G,32133.44958
Single-family,Owner-occupied,D10,Electricity,G,30798.02456
Multi-family,Privately rented,D1,Natural gas,G,7985.001227
Single-family,Privately rented,D1,Natural gas,G,681.2412345
Multi-family,Social-housing,D1,Natural gas,G,3191.75546
Single-family,Social-housing,D1,Natural gas,G,172.7249776
Multi-family,Owner-occupied,D1,Natural gas,G,1098.445667
Single-family,Owner-occupied,D1,Natural gas,G,1480.226918
Multi-family,Privately rented,D2,Natural gas,G,4105.950075
Single-family,Privately rented,D2,Natural gas,G,789.482032
Multi-family,Social-housing,D2,Natural gas,G,2676.332862
Single-family,Social-housing,D2,Natural gas,G,235.0092082
Multi-family,Owner-occupied,D2,Natural gas,G,1102.358821
Single-family,Owner-occupied,D2,Natural gas,G,2491.782892
Multi-family,Privately rented,D3,Natural gas,G,3160.006873
Single-family,Privately rented,D3,Natural gas,G,781.8625433
Multi-family,Social-housing,D3,Natural gas,G,1766.447244
Single-family,Social-housing,D3,Natural gas,G,224.5883341
Multi-family,Owner-occupied,D3,Natural gas,G,1235.620609
Single-family,Owner-occupied,D3,Natural gas,G,3793.983459
Multi-family,Privately rented,D4,Natural gas,G,2770.529392
Single-family,Privately rented,D4,Natural gas,G,827.3987005
Multi-family,Social-housing,D4,Natural gas,G,1525.076529
Single-family,Social-housing,D4,Natural gas,G,167.6527548
Multi-family,Owner-occupied,D4,Natural gas,G,1425.332495
Single-family,Owner-occupied,D4,Natural gas,G,4650.746325
Multi-family,Privately rented,D5,Natural gas,G,2782.296747
Single-family,Privately rented,D5,Natural gas,G,737.2206461
Multi-family,Social-housing,D5,Natural gas,G,1225.004579
Single-family,Social-housing,D5,Natural gas,G,123.522811
Multi-family,Owner-occupied,D5,Natural gas,G,1480.486827
Single-family,Owner-occupied,D5,Natural gas,G,5293.28737
Multi-family,Privately rented,D6,Natural gas,G,2611.353455
Single-family,Privately rented,D6,Natural gas,G,664.9508299
Multi-family,Social-housing,D6,Natural gas,G,844.6857764
Single-family,Social-housing,D6,Natural gas,G,81.64600587
Multi-family,Owner-occupied,D6,Natural gas,G,1613.510433
Single-family,Owner-occupied,D6,Natural gas,G,5453.335422
Multi-family,Privately rented,D7,Natural gas,G,2694.939143
Single-family,Privately rented,D7,Natural gas,G,672.4374983
Multi-family,Social-housing,D7,Natural gas,G,842.6212893
Single-family,Social-housing,D7,Natural gas,G,61.86422551
Multi-family,Owner-occupied,D7,Natural gas,G,1800.560832
Single-family,Owner-occupied,D7,Natural gas,G,5588.277218
Multi-family,Privately rented,D8,Natural gas,G,2576.938723
Single-family,Privately rented,D8,Natural gas,G,594.9711169
Multi-family,Social-housing,D8,Natural gas,G,638.8628757
Single-family,Social-housing,D8,Natural gas,G,44.67764601
Multi-family,Owner-occupied,D8,Natural gas,G,2099.043109
Single-family,Owner-occupied,D8,Natural gas,G,5733.987541
Multi-family,Privately rented,D9,Natural gas,G,2730.150686
Single-family,Privately rented,D9,Natural gas,G,514.0140502
Multi-family,Social-housing,D9,Natural gas,G,588.4106581
Single-family,Social-housing,D9,Natural gas,G,22.58916488
Multi-family,Owner-occupied,D9,Natural gas,G,2685.951704
Single-family,Owner-occupied,D9,Natural gas,G,5489.262423
Multi-family,Privately rented,D10,Natural gas,G,3963.949748
Single-family,Privately rented,D10,Natural gas,G,378.653117
Multi-family,Social-housing,D10,Natural gas,G,513.3365298
Single-family,Social-housing,D10,Natural gas,G,7.341262163
Multi-family,Owner-occupied,D10,Natural gas,G,4352.329162
Single-family,Owner-occupied,D10,Natural gas,G,4483.516424
