Housing type,Occupancy status,Income tenant,Heating energy,Energy performance,NB_LOG
Single-family,Privately rented,D10,Others,B,911.4231594
Multi-family,Social-housing,D10,Others,B,602.6177149
Single-family,Social-housing,D10,Others,B,35.17788329
Multi-family,Owner-occupied,D10,Others,B,3681.397336
Single-family,Owner-occupied,D10,Others,B,19302.63521
Multi-family,Privately rented,D1,Electricity,B,8704.649457
Single-family,Privately rented,D1,Electricity,B,2378.477924
Multi-family,Social-housing,D1,Electricity,B,8537.794089
Single-family,Social-housing,D1,Electricity,B,1102.833799
Multi-family,Owner-occupied,D1,Electricity,B,1070.382003
Single-family,Owner-occupied,D1,Electricity,B,4876.902058
Multi-family,Privately rented,D2,Electricity,B,8130.660587
Single-family,Privately rented,D2,Electricity,B,3040.32175
Multi-family,Social-housing,D2,Electricity,B,8687.39592
Single-family,Social-housing,D2,Electricity,B,1432.505923
Multi-family,Owner-occupied,D2,Electricity,B,2073.458285
Single-family,Owner-occupied,D2,Electricity,B,7234.798862
Multi-family,Privately rented,D3,Electricity,B,7442.639509
Single-family,Privately rented,D3,Electricity,B,3055.571826
Multi-family,Social-housing,D3,Electricity,B,6559.168796
Single-family,Social-housing,D3,Electricity,B,1298.959049
Multi-family,Owner-occupied,D3,Electricity,B,2712.658545
Single-family,Owner-occupied,D3,Electricity,B,9696.59001
Multi-family,Privately rented,D4,Electricity,B,8627.86657
Single-family,Privately rented,D4,Electricity,B,3266.845915
Multi-family,Social-housing,D4,Electricity,B,5652.598708
Single-family,Social-housing,D4,Electricity,B,1030.00239
Multi-family,Owner-occupied,D4,Electricity,B,3047.090131
Single-family,Owner-occupied,D4,Electricity,B,12358.62221
Multi-family,Privately rented,D5,Electricity,B,8950.915555
Single-family,Privately rented,D5,Electricity,B,3321.881016
Multi-family,Social-housing,D5,Electricity,B,4503.161762
Single-family,Social-housing,D5,Electricity,B,800.5682444
Multi-family,Owner-occupied,D5,Electricity,B,4122.505458
Single-family,Owner-occupied,D5,Electricity,B,15278.1166
Multi-family,Privately rented,D6,Electricity,B,9568.392009
Single-family,Privately rented,D6,Electricity,B,3715.53562
Multi-family,Social-housing,D6,Electricity,B,3531.645889
Single-family,Social-housing,D6,Electricity,B,488.8740095
Multi-family,Owner-occupied,D6,Electricity,B,5832.536401
Single-family,Owner-occupied,D6,Electricity,B,17077.76886
Multi-family,Privately rented,D7,Electricity,B,9823.02378
Single-family,Privately rented,D7,Electricity,B,3421.234443
Multi-family,Social-housing,D7,Electricity,B,2930.633098
Single-family,Social-housing,D7,Electricity,B,387.5546809
Multi-family,Owner-occupied,D7,Electricity,B,6150.007271
Single-family,Owner-occupied,D7,Electricity,B,18978.77781
Multi-family,Privately rented,D8,Electricity,B,9462.24869
Single-family,Privately rented,D8,Electricity,B,2817.001323
Multi-family,Social-housing,D8,Electricity,B,1817.21464
Single-family,Social-housing,D8,Electricity,B,215.2679527
Multi-family,Owner-occupied,D8,Electricity,B,8023.978423
Single-family,Owner-occupied,D8,Electricity,B,20411.03566
Multi-family,Privately rented,D9,Electricity,B,8313.543328
Single-family,Privately rented,D9,Electricity,B,3088.948767
Multi-family,Social-housing,D9,Electricity,B,1224.899621
Single-family,Social-housing,D9,Electricity,B,180.8001502
Multi-family,Owner-occupied,D9,Electricity,B,8710.557403
Single-family,Owner-occupied,D9,Electricity,B,21704.38125
Multi-family,Privately rented,D10,Electricity,B,6059.417756
Single-family,Privately rented,D10,Electricity,B,2830.677307
Multi-family,Social-housing,D10,Electricity,B,421.7470807
Single-family,Social-housing,D10,Electricity,B,103.4647132
Multi-family,Owner-occupied,D10,Electricity,B,9959.807533
Single-family,Owner-occupied,D10,Electricity,B,23514.48732
Multi-family,Privately rented,D1,Natural gas,B,14865.51418
Single-family,Privately rented,D1,Natural gas,B,2164.97693
Multi-family,Social-housing,D1,Natural gas,B,47219.68134
Single-family,Social-housing,D1,Natural gas,B,6789.183109
Multi-family,Owner-occupied,D1,Natural gas,B,3668.964694
Single-family,Owner-occupied,D1,Natural gas,B,4797.2244
Multi-family,Privately rented,D2,Natural gas,B,13232.66539
Single-family,Privately rented,D2,Natural gas,B,2945.402111
Multi-family,Social-housing,D2,Natural gas,B,49111.98189
Single-family,Social-housing,D2,Natural gas,B,10009.75296
Multi-family,Owner-occupied,D2,Natural gas,B,5641.629243
Single-family,Owner-occupied,D2,Natural gas,B,7860.443301
Multi-family,Privately rented,D3,Natural gas,B,11903.81093
