Housing type,Heating system final,Year,
Multi-family,Wood fuel-Performance boiler,2022,38801
Single-family,Electricity-Heat pump water,2023,72413
Multi-family,Electricity-Heat pump water,2023,29884
Single-family,Electricity-Heat pump air,2023,72413
Multi-family,Electricity-Heat pump air,2023,17453
Single-family,Natural gas-Performance boiler,2023,49085
Multi-family,Natural gas-Performance boiler,2023,23103
Single-family,Wood fuel-Performance boiler,2023,38801
Multi-family,Wood fuel-Performance boiler,2023,38801
Single-family,Electricity-Heat pump water,2024,72413
Multi-family,Electricity-Heat pump water,2024,29884
Single-family,Electricity-Heat pump air,2024,72413
Multi-family,Electricity-Heat pump air,2024,17453
Single-family,Natural gas-Performance boiler,2024,0
Multi-family,Natural gas-Performance boiler,2024,0
Single-family,Wood fuel-Performance boiler,2024,38801
Multi-family,Wood fuel-Performance boiler,2024,38801
Single-family,Electricity-Heat pump water,2025,72413
Multi-family,Electricity-Heat pump water,2025,29884
Single-family,Electricity-Heat pump air,2025,72413
Multi-family,Electricity-Heat pump air,2025,17453
Single-family,Natural gas-Performance boiler,2025,0
Multi-family,Natural gas-Performance boiler,2025,0
Single-family,Wood fuel-Performance boiler,2025,38801
Multi-family,Wood fuel-Performance boiler,2025,38801
Single-family,Electricity-Heat pump water,2026,72413
Multi-family,Electricity-Heat pump water,2026,29884
Single-family,Electricity-Heat pump air,2026,72413
Multi-family,Electricity-Heat pump air,2026,17453
Single-family,Natural gas-Performance boiler,2026,0
Multi-family,Natural gas-Performance boiler,2026,0
Single-family,Wood fuel-Performance boiler,2026,38801
Multi-family,Wood fuel-Performance boiler,2026,38801
Single-family,Electricity-Heat pump water,2027,72413
Multi-family,Electricity-Heat pump water,2027,29884
Single-family,Electricity-Heat pump air,2027,72413
Multi-family,Electricity-Heat pump air,2027,17453
Single-family,Natural gas-Performance boiler,2027,0
Multi-family,Natural gas-Performance boiler,2027,0
Single-family,Wood fuel-Performance boiler,2027,38801
Multi-family,Wood fuel-Performance boiler,2027,38801
Single-family,Electricity-Heat pump water,2028,72413
Multi-family,Electricity-Heat pump water,2028,29884
Single-family,Electricity-Heat pump air,2028,72413
Multi-family,Electricity-Heat pump air,2028,17453
Single-family,Natural gas-Performance boiler,2028,0
Multi-family,Natural gas-Performance boiler,2028,0
Single-family,Wood fuel-Performance boiler,2028,38801
Multi-family,Wood fuel-Performance boiler,2028,38801
Single-family,Electricity-Heat pump water,2029,72413
Multi-family,Electricity-Heat pump water,2029,29884
Single-family,Electricity-Heat pump air,2029,72413
Multi-family,Electricity-Heat pump air,2029,17453
Single-family,Natural gas-Performance boiler,2029,0
Multi-family,Natural gas-Performance boiler,2029,0
Single-family,Wood fuel-Performance boiler,2029,38801
Multi-family,Wood fuel-Performance boiler,2029,38801
Single-family,Electricity-Heat pump water,2030,72413
Multi-family,Electricity-Heat pump water,2030,29884
Single-family,Electricity-Heat pump air,2030,72413
Multi-family,Electricity-Heat pump air,2030,17453
Single-family,Natural gas-Performance boiler,2030,0
Multi-family,Natural gas-Performance boiler,2030,0
Single-family,Wood fuel-Performance boiler,2030,0
Multi-family,Wood fuel-Performance boiler,2030,0
Single-family,Electricity-Heat pump water,2031,0
Multi-family,Electricity-Heat pump water,2031,0
Single-family,Electricity-Heat pump air,2031,0
Multi-family,Electricity-Heat pump air,2031,0
Single-family,Natural gas-Performance boiler,2031,0
Multi-family,Natural gas-Performance boiler,2031,0
Single-family,Wood fuel-Performance boiler,2031,0
Multi-family,Wood fuel-Performance boiler,2031,0
Single-family,Electricity-Heat pump water,2032,0
Multi-family,Electricity-Heat pump water,2032,0
Single-family,Electricity-Heat pump air,2032,0
Multi-family,Electricity-Heat pump air,2032,0
Single-family,Natural gas-Performance boiler,2032,0
Multi-family,Natural gas-Performance boiler,2032,0
Single-family,Wood fuel-Performance boiler,2032,0
Multi-family,Wood fuel-Performance boiler,2032,0
Single-family,Electricity-Heat pump water,2033,0
Multi-family,Electricity-Heat pump water,2033,0
Single-family,Electricity-Heat pump air,2033,0
Multi-family,Electricity-Heat pump air,2033,0
Single-family,Natural gas-Performance boiler,2033,0
Multi-family,Natural gas-Performance boiler,2033,0
Single-family,Wood fuel-Performance boiler,2033,0
Multi-family,Wood fuel-Performance boiler,2033,0
Single-family,Electricity-Heat pump water,2034,0
Multi-family,Electricity-Heat pump water,2034,0
Single-family,Electricity-Heat pump air,2034,0
Multi-family,Electricity-Heat pump air,2034,0
Single-family,Natural gas-Performance boiler,2034,0
Multi-family,Natural gas-Performance boiler,2034,0
Single-family,Wood fuel-Performance boiler,2034,0
Multi-family,Wood fuel-Performance boiler,2034,0
Single-family,Electricity-Heat pump water,2035,0
Multi-family,Electricity-Heat pump water,2035,0
Single-family,Electricity-Heat pump air,2035,0
Multi-family,Electricity-Heat pump air,2035,0
Single-family,Natural gas-Performance boiler,2035,0
Multi-family,Natural gas-Performance boiler,2035,0
Single-family,Wood fuel-Performance boiler,2035,0
Multi-family,Wood fuel-Performance boiler,2035,0
Single-family,Electricity-Heat pump water,2036,0
Multi-family,Electricity-Heat pump water,2036,0
Single-family,Electricity-Heat pump air,2036,0
Multi-family,Electricity-Heat pump air,2036,0
Single-family,Natural gas-Performance boiler,2036,0
Multi-family,Natural gas-Performance boiler,2036,0
Single-family,Wood fuel-Performance boiler,2036,0
Multi-family,Wood fuel-Performance boiler,2036,0
Single-family,Electricity-Heat pump water,2037,0
Multi-family,Electricity-Heat pump water,2037,0
Single-family,Electricity-Heat pump air,2037,0
Multi-family,Electricity-Heat pump air,2037,0
Single-family,Natural gas-Performance boiler,2037,0
Multi-family,Natural gas-Performance boiler,2037,0
Single-family,Wood fuel-Performance boiler,2037,0
Multi-family,Wood fuel-Performance boiler,2037,0
Single-family,Electricity-Heat pump water,2038,0
Multi-family,Electricity-Heat pump water,2038,0
Single-family,Electricity-Heat pump air,2038,0
Multi-family,Electricity-Heat pump air,2038,0
Single-family,Natural gas-Performance boiler,2038,0
Multi-family,Natural gas-Performance boiler,2038,0
Single-family,Wood fuel-Performance boiler,2038,0
Multi-family,Wood fuel-Performance boiler,2038,0
Single-family,Electricity-Heat pump water,2039,0
Multi-family,Electricity-Heat pump water,2039,0
Single-family,Electricity-Heat pump air,2039,0
Multi-family,Electricity-Heat pump air,2039,0
Single-family,Natural gas-Performance boiler,2039,0
Multi-family,Natural gas-Performance boiler,2039,0
Single-family,Wood fuel-Performance boiler,2039,0
Multi-family,Wood fuel-Performance boiler,2039,0
Single-family,Electricity-Heat pump water,2040,0
Multi-family,Electricity-Heat pump water,2040,0
Single-family,Electricity-Heat pump air,2040,0
Multi-family,Electricity-Heat pump air,2040,0
Single-family,Natural gas-Performance boiler,2040,0
Multi-family,Natural gas-Performance boiler,2040,0
Single-family,Wood fuel-Performance boiler,2040,0
Multi-family,Wood fuel-Performance boiler,2040,0
Single-family,Electricity-Heat pump water,2041,0
Multi-family,Electricity-Heat pump water,2041,0
Single-family,Electricity-Heat pump air,2041,0
Multi-family,Electricity-Heat pump air,2041,0
Single-family,Natural gas-Performance boiler,2041,0
Multi-family,Natural gas-Performance boiler,2041,0
Single-family,Wood fuel-Performance boiler,2041,0
Multi-family,Wood fuel-Performance boiler,2041,0
Single-family,Electricity-Heat pump water,2042,0
Multi-family,Electricity-Heat pump water,2042,0
Single-family,Electricity-Heat pump air,2042,0
Multi-family,Electricity-Heat pump air,2042,0
Single-family,Natural gas-Performance boiler,2042,0
Multi-family,Natural gas-Performance boiler,2042,0
Single-family,Wood fuel-Performance boiler,2042,0
Multi-family,Wood fuel-Performance boiler,2042,0
Single-family,Electricity-Heat pump water,2043,0
Multi-family,Electricity-Heat pump water,2043,0
Single-family,Electricity-Heat pump air,2043,0
Multi-family,Electricity-Heat pump air,2043,0
Single-family,Natural gas-Performance boiler,2043,0
Multi-family,Natural gas-Performance boiler,2043,0
Single-family,Wood fuel-Performance boiler,2043,0
Multi-family,Wood fuel-Performance boiler,2043,0
Single-family,Electricity-Heat pump water,2044,0
Multi-family,Electricity-Heat pump water,2044,0
Single-family,Electricity-Heat pump air,2044,0
Multi-family,Electricity-Heat pump air,2044,0
Single-family,Natural gas-Performance boiler,2044,0
Multi-family,Natural gas-Performance boiler,2044,0
Single-family,Wood fuel-Performance boiler,2044,0
Multi-family,Wood fuel-Performance boiler,2044,0
Single-family,Electricity-Heat pump water,2045,0
Multi-family,Electricity-Heat pump water,2045,0
Single-family,Electricity-Heat pump air,2045,0
Multi-family,Electricity-Heat pump air,2045,0
Single-family,Natural gas-Performance boiler,2045,0
Multi-family,Natural gas-Performance boiler,2045,0
Single-family,Wood fuel-Performance boiler,2045,0
Multi-family,Wood fuel-Performance boiler,2045,0
Single-family,Electricity-Heat pump water,2046,0
Multi-family,Electricity-Heat pump water,2046,0
Single-family,Electricity-Heat pump air,2046,0
Multi-family,Electricity-Heat pump air,2046,0
Single-family,Natural gas-Performance boiler,2046,0
Multi-family,Natural gas-Performance boiler,2046,0
Single-family,Wood fuel-Performance boiler,2046,0
Multi-family,Wood fuel-Performance boiler,2046,0
Single-family,Electricity-Heat pump water,2047,0
Multi-family,Electricity-Heat pump water,2047,0
Single-family,Electricity-Heat pump air,2047,0
Multi-family,Electricity-Heat pump air,2047,0
Single-family,Natural gas-Performance boiler,2047,0
Multi-family,Natural gas-Performance boiler,2047,0
Single-family,Wood fuel-Performance boiler,2047,0
Multi-family,Wood fuel-Performance boiler,2047,0
Single-family,Electricity-Heat pump water,2048,0
Multi-family,Electricity-Heat pump water,2048,0
Single-family,Electricity-Heat pump air,2048,0
Multi-family,Electricity-Heat pump air,2048,0
Single-family,Natural gas-Performance boiler,2048,0
Multi-family,Natural gas-Performance boiler,2048,0
Single-family,Wood fuel-Performance boiler,2048,0
Multi-family,Wood fuel-Performance boiler,2048,0
Single-family,Electricity-Heat pump water,2049,0
Multi-family,Electricity-Heat pump water,2049,0
Single-family,Electricity-Heat pump air,2049,0
Multi-family,Electricity-Heat pump air,2049,0
Single-family,Natural gas-Performance boiler,2049,0
Multi-family,Natural gas-Performance boiler,2049,0
Single-family,Wood fuel-Performance boiler,2049,0
Multi-family,Wood fuel-Performance boiler,2049,0
Single-family,Electricity-Heat pump water,2050,0
Multi-family,Electricity-Heat pump water,2050,0
Single-family,Electricity-Heat pump air,2050,0
Multi-family,Electricity-Heat pump air,2050,0
Single-family,Natural gas-Performance boiler,2050,0
Multi-family,Natural gas-Performance boiler,2050,0
Single-family,Wood fuel-Performance boiler,2050,0
Multi-family,Wood fuel-Performance boiler,2050,0
