Insulation,Year,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
Floor,2033,1100,1100,1100,890,890,890,890,590
Floor,2034,1100,1100,1100,890,890,890,890,590
Floor,2035,1100,1100,1100,890,890,890,890,590
Floor,2036,1100,1100,1100,890,890,890,890,590
Floor,2037,1100,1100,1100,890,890,890,890,590
Floor,2038,1100,1100,1100,890,890,890,890,590
Floor,2039,1100,1100,1100,890,890,890,890,590
Floor,2040,1100,1100,1100,890,890,890,890,590
Floor,2041,1100,1100,1100,890,890,890,890,590
Floor,2042,1100,1100,1100,890,890,890,890,590
Floor,2043,1100,1100,1100,890,890,890,890,590
Floor,2044,1100,1100,1100,890,890,890,890,590
Floor,2045,1100,1100,1100,890,890,890,890,590
Floor,2046,1100,1100,1100,890,890,890,890,590
Floor,2047,1100,1100,1100,890,890,890,890,590
Floor,2048,1100,1100,1100,890,890,890,890,590
Floor,2049,1100,1100,1100,890,890,890,890,590
Floor,2050,1100,1100,1100,890,890,890,890,590
Windows,2017,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2018,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2019,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2020,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2021,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2022,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2023,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2024,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2025,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2026,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2027,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2028,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2029,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2030,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2031,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2032,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2033,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2034,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2035,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2036,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2037,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2038,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2039,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2040,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2041,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2042,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2043,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2044,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2045,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2046,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2047,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2048,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2049,3800,3800,3800,3100,3100,3100,3100,2100
Windows,2050,3800,3800,3800,3100,3100,3100,3100,2100
