,subsidies,restriction_gas,carbon_tax,obligation,cee,zero_interest_loan
S105,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S106,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S107,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S108,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S109,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S110,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S111,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S112,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S113,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S114,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S115,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S116,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S117,subsidies_2021,restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S118,subsidies_2021,restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S119,subsidies_2021,restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S120,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S121,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S122,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S123,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S124,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S125,subsidies_2021,restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S126,subsidies_2021,restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S127,subsidies_2021,restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S128,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S129,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S130,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S131,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S132,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S133,subsidies_2021,restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S134,subsidies_2021,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S135,subsidies_2021,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S136,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S137,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S138,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S139,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S140,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S141,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S142,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S143,subsidies_2021,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S144,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S145,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S146,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S147,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S148,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S149,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S150,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S151,subsidies_2021,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S152,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S153,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S154,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S155,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S156,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S157,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S158,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S159,subsidies_2021,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S160,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S161,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S162,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S163,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S164,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S165,subsidies_2021,no_restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S166,subsidies_2021,no_restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S167,subsidies_2021,no_restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S168,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S169,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S170,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S171,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S172,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S173,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S174,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S175,subsidies_2021,no_restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S176,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S177,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S178,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S179,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S180,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S181,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S182,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S183,subsidies_2021,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S184,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S185,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S186,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S187,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S188,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S189,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S190,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S191,subsidies_2021,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S192,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S193,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S194,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S195,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S196,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S197,subsidies_2018,restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S198,subsidies_2018,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S199,subsidies_2018,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S200,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S201,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S202,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S203,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S204,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S205,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S206,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S207,subsidies_2018,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S208,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S209,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S210,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S211,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S212,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S213,subsidies_2018,restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S214,subsidies_2018,restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S215,subsidies_2018,restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S216,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S217,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S218,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S219,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S220,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S221,subsidies_2018,restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S222,subsidies_2018,restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S223,subsidies_2018,restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S224,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S225,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S226,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S227,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S228,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S229,subsidies_2018,restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S230,subsidies_2018,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S231,subsidies_2018,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S232,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S233,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S234,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S235,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S236,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S237,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S238,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S239,subsidies_2018,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S240,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S241,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S242,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S243,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S244,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S245,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S246,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S247,subsidies_2018,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S248,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S249,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S250,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S251,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S252,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S253,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S254,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S255,subsidies_2018,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S256,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S257,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S258,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S259,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S260,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S261,subsidies_2018,no_restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S262,subsidies_2018,no_restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S263,subsidies_2018,no_restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S264,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S265,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S266,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S267,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S268,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S269,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S270,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S271,subsidies_2018,no_restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S272,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S273,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S274,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S275,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S276,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S277,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S278,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S279,subsidies_2018,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S280,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S281,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S282,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S283,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S284,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S285,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S286,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S287,subsidies_2018,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S288,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
