Housing type,Energy performance,Heating energy,Occupancy status,Income owner,Income tenant,Stock buildings
Multi-family,A,Natural gas,Owner-occupied,D10,D10,4782.890366
Single-family,A,Natural gas,Owner-occupied,D10,D10,4262.337933
Multi-family,B,Electricity,Social-housing,D10,D1,8537.794089
Single-family,B,Electricity,Social-housing,D10,D1,1102.833799
Multi-family,B,Electricity,Owner-occupied,D1,D1,1070.382003
Single-family,B,Electricity,Owner-occupied,D1,D1,4876.902058
Multi-family,B,Electricity,Social-housing,D10,D2,8687.39592
Single-family,B,Electricity,Social-housing,D10,D2,1432.505923
Multi-family,B,Electricity,Owner-occupied,D2,D2,2073.458285
Single-family,B,Electricity,Owner-occupied,D2,D2,7234.798862
Multi-family,B,Electricity,Social-housing,D10,D3,6559.168796
Single-family,B,Electricity,Social-housing,D10,D3,1298.959049
Multi-family,B,Electricity,Owner-occupied,D3,D3,2712.658545
Single-family,B,Electricity,Owner-occupied,D3,D3,9696.59001
Multi-family,B,Electricity,Social-housing,D10,D4,5652.598708
Single-family,B,Electricity,Social-housing,D10,D4,1030.00239
Multi-family,B,Electricity,Owner-occupied,D4,D4,3047.090131
Single-family,B,Electricity,Owner-occupied,D4,D4,12358.62221
Multi-family,B,Electricity,Social-housing,D10,D5,4503.161762
Single-family,B,Electricity,Social-housing,D10,D5,800.5682444
Multi-family,B,Electricity,Owner-occupied,D5,D5,4122.505458
Single-family,B,Electricity,Owner-occupied,D5,D5,15278.1166
Multi-family,B,Electricity,Social-housing,D10,D6,3531.645889
Single-family,B,Electricity,Social-housing,D10,D6,488.8740095
Multi-family,B,Electricity,Owner-occupied,D6,D6,5832.536401
Single-family,B,Electricity,Owner-occupied,D6,D6,17077.76886
Multi-family,B,Electricity,Social-housing,D10,D7,2930.633098
Single-family,B,Electricity,Social-housing,D10,D7,387.5546809
Multi-family,B,Electricity,Owner-occupied,D7,D7,6150.007271
Single-family,B,Electricity,Owner-occupied,D7,D7,18978.77781
Multi-family,B,Electricity,Social-housing,D10,D8,1817.21464
Single-family,B,Electricity,Social-housing,D10,D8,215.2679527
Multi-family,B,Electricity,Owner-occupied,D8,D8,8023.978423
Single-family,B,Electricity,Owner-occupied,D8,D8,20411.03566
Multi-family,B,Electricity,Social-housing,D10,D9,1224.899621
Single-family,B,Electricity,Social-housing,D10,D9,180.8001502
Multi-family,B,Electricity,Owner-occupied,D9,D9,8710.557403
Single-family,B,Electricity,Owner-occupied,D9,D9,21704.38125
Multi-family,B,Electricity,Social-housing,D10,D10,421.7470807
Single-family,B,Electricity,Social-housing,D10,D10,103.4647132
Multi-family,B,Electricity,Owner-occupied,D10,D10,9959.807533
Single-family,B,Electricity,Owner-occupied,D10,D10,23514.48732
Multi-family,B,Natural gas,Social-housing,D10,D1,47219.68134
Single-family,B,Natural gas,Social-housing,D10,D1,6789.183109
Multi-family,B,Natural gas,Owner-occupied,D1,D1,3668.964694
Single-family,B,Natural gas,Owner-occupied,D1,D1,4797.2244
Multi-family,B,Natural gas,Social-housing,D10,D2,49111.98189
Single-family,B,Natural gas,Social-housing,D10,D2,10009.75296
Multi-family,B,Natural gas,Owner-occupied,D2,D2,5641.629243
Single-family,B,Natural gas,Owner-occupied,D2,D2,7860.443301
Multi-family,B,Natural gas,Social-housing,D10,D3,36414.02724
Single-family,B,Natural gas,Social-housing,D10,D3,8006.188749
Multi-family,B,Natural gas,Owner-occupied,D3,D3,7108.601746
Single-family,B,Natural gas,Owner-occupied,D3,D3,11726.42762
Multi-family,B,Natural gas,Social-housing,D10,D4,29734.05067
Single-family,B,Natural gas,Social-housing,D10,D4,5973.849161
Multi-family,B,Natural gas,Owner-occupied,D4,D4,8441.49133
Single-family,B,Natural gas,Owner-occupied,D4,D4,14690.47637
Multi-family,B,Natural gas,Social-housing,D10,D5,24783.77568
Single-family,B,Natural gas,Social-housing,D10,D5,5062.58952
Multi-family,B,Natural gas,Owner-occupied,D5,D5,10233.61021
Single-family,B,Natural gas,Owner-occupied,D5,D5,17823.25384
Multi-family,B,Natural gas,Social-housing,D10,D6,19034.35279
Single-family,B,Natural gas,Social-housing,D10,D6,3342.661547
Multi-family,B,Natural gas,Owner-occupied,D6,D6,13220.11549
Single-family,B,Natural gas,Owner-occupied,D6,D6,20468.71579
Multi-family,B,Natural gas,Social-housing,D10,D7,14506.30831
Single-family,B,Natural gas,Social-housing,D10,D7,2590.944876
Multi-family,B,Natural gas,Owner-occupied,D7,D7,15080.43952
Single-family,B,Natural gas,Owner-occupied,D7,D7,22925.42571
Multi-family,B,Natural gas,Social-housing,D10,D8,9874.980603
Single-family,B,Natural gas,Social-housing,D10,D8,1558.629252
Multi-family,B,Natural gas,Owner-occupied,D8,D8,18218.83767
Single-family,B,Natural gas,Owner-occupied,D8,D8,25292.53154
Multi-family,B,Natural gas,Social-housing,D10,D9,6131.268596
Single-family,B,Natural gas,Social-housing,D10,D9,989.9861064
Multi-family,B,Natural gas,Owner-occupied,D9,D9,20541.59773
Single-family,B,Natural gas,Owner-occupied,D9,D9,28034.55259
Multi-family,B,Natural gas,Social-housing,D10,D10,2464.781642
Single-family,B,Natural gas,Social-housing,D10,D10,485.3633717
Multi-family,B,Natural gas,Owner-occupied,D10,D10,25210.93669
Single-family,B,Natural gas,Owner-occupied,D10,D10,28843.7095
Multi-family,C,Electricity,Social-housing,D10,D1,16013.72114
Single-family,C,Electricity,Social-housing,D10,D1,1428.54424
Multi-family,C,Electricity,Owner-occupied,D1,D1,5649.117553
Single-family,C,Electricity,Owner-occupied,D1,D1,14222.46815
Multi-family,C,Electricity,Social-housing,D10,D2,15801.51123
Single-family,C,Electricity,Social-housing,D10,D2,1551.884369
Multi-family,C,Electricity,Owner-occupied,D2,D2,7645.115126
Single-family,C,Electricity,Owner-occupied,D2,D2,22629.65967
Multi-family,C,Electricity,Social-housing,D10,D3,11401.4973
Single-family,C,Electricity,Social-housing,D10,D3,1276.338944
Multi-family,C,Electricity,Owner-occupied,D3,D3,9131.560281
Single-family,C,Electricity,Owner-occupied,D3,D3,31802.79411
Multi-family,C,Electricity,Social-housing,D10,D4,9214.497796
Single-family,C,Electricity,Social-housing,D10,D4,1074.529513
Multi-family,C,Electricity,Owner-occupied,D4,D4,10849.06108
Single-family,C,Electricity,Owner-occupied,D4,D4,38239.12572
Multi-family,C,Electricity,Social-housing,D10,D5,7792.928178
Single-family,C,Electricity,Social-housing,D10,D5,843.5374393
Multi-family,C,Electricity,Owner-occupied,D5,D5,12196.5934
Single-family,C,Electricity,Owner-occupied,D5,D5,44595.91227
Multi-family,C,Electricity,Social-housing,D10,D6,5771.590938
Single-family,C,Electricity,Social-housing,D10,D6,581.3082434
Multi-family,C,Electricity,Owner-occupied,D6,D6,14609.09945
Single-family,C,Electricity,Owner-occupied,D6,D6,51064.98592
Multi-family,C,Electricity,Social-housing,D10,D7,4773.707278
Single-family,C,Electricity,Social-housing,D10,D7,453.4615908
Multi-family,C,Electricity,Owner-occupied,D7,D7,16849.57407
Single-family,C,Electricity,Owner-occupied,D7,D7,56348.0366
Multi-family,C,Electricity,Social-housing,D10,D8,3444.862957
Single-family,C,Electricity,Social-housing,D10,D8,286.2223572
Multi-family,C,Electricity,Owner-occupied,D8,D8,20904.78306
Single-family,C,Electricity,Owner-occupied,D8,D8,62847.06287
Multi-family,C,Electricity,Social-housing,D10,D9,2228.176254
Single-family,C,Electricity,Social-housing,D10,D9,180.9118126
Multi-family,C,Electricity,Owner-occupied,D9,D9,24009.95999
Single-family,C,Electricity,Owner-occupied,D9,D9,69819.31339
Multi-family,C,Electricity,Social-housing,D10,D10,1142.536476
Single-family,C,Electricity,Social-housing,D10,D10,38.14573819
Multi-family,C,Electricity,Owner-occupied,D10,D10,32654.31993
Single-family,C,Electricity,Owner-occupied,D10,D10,76911.67012
Multi-family,C,Natural gas,Social-housing,D10,D1,156418.8668
Single-family,C,Natural gas,Social-housing,D10,D1,27848.80894
Multi-family,C,Natural gas,Owner-occupied,D1,D1,19320.38491
Single-family,C,Natural gas,Owner-occupied,D1,D1,30211.74801
Multi-family,C,Natural gas,Social-housing,D10,D2,153205.008
Single-family,C,Natural gas,Social-housing,D10,D2,35798.16974
Multi-family,C,Natural gas,Owner-occupied,D2,D2,24239.49234
Single-family,C,Natural gas,Owner-occupied,D2,D2,45310.08897
Multi-family,C,Natural gas,Social-housing,D10,D3,105864.5393
Single-family,C,Natural gas,Social-housing,D10,D3,28893.79602
Multi-family,C,Natural gas,Owner-occupied,D3,D3,29648.97429
Single-family,C,Natural gas,Owner-occupied,D3,D3,69307.65913
Multi-family,C,Natural gas,Social-housing,D10,D4,89863.21122
Single-family,C,Natural gas,Social-housing,D10,D4,23633.12587
Multi-family,C,Natural gas,Owner-occupied,D4,D4,35817.73633
Single-family,C,Natural gas,Owner-occupied,D4,D4,85739.93836
Multi-family,C,Natural gas,Social-housing,D10,D5,74160.81962
Single-family,C,Natural gas,Social-housing,D10,D5,20134.13394
Multi-family,C,Natural gas,Owner-occupied,D5,D5,42118.55369
Single-family,C,Natural gas,Owner-occupied,D5,D5,98051.89851
Multi-family,C,Natural gas,Social-housing,D10,D6,55266.20175
Single-family,C,Natural gas,Social-housing,D10,D6,15656.37819
Multi-family,C,Natural gas,Owner-occupied,D6,D6,49661.49829
Single-family,C,Natural gas,Owner-occupied,D6,D6,113176.0763
Multi-family,C,Natural gas,Social-housing,D10,D7,43085.53052
Single-family,C,Natural gas,Social-housing,D10,D7,10995.08625
Multi-family,C,Natural gas,Owner-occupied,D7,D7,57206.28971
Single-family,C,Natural gas,Owner-occupied,D7,D7,125562.9249
Multi-family,C,Natural gas,Social-housing,D10,D8,31395.74601
Single-family,C,Natural gas,Social-housing,D10,D8,7788.373496
Multi-family,C,Natural gas,Owner-occupied,D8,D8,67996.04548
Single-family,C,Natural gas,Owner-occupied,D8,D8,141049.5217
Multi-family,C,Natural gas,Social-housing,D10,D9,19994.52981
Single-family,C,Natural gas,Social-housing,D10,D9,3880.826083
Multi-family,C,Natural gas,Owner-occupied,D9,D9,82934.36002
Single-family,C,Natural gas,Owner-occupied,D9,D9,158867.4412
Multi-family,C,Natural gas,Social-housing,D10,D10,9194.183554
Single-family,C,Natural gas,Social-housing,D10,D10,1336.748517
Multi-family,C,Natural gas,Owner-occupied,D10,D10,117279.6952
Single-family,C,Natural gas,Owner-occupied,D10,D10,163172.7257
Multi-family,D,Electricity,Social-housing,D10,D1,54018.93396
Single-family,D,Electricity,Social-housing,D10,D1,9674.54925
Multi-family,D,Electricity,Owner-occupied,D1,D1,16076.5477
Single-family,D,Electricity,Owner-occupied,D1,D1,33164.5537
Multi-family,D,Electricity,Social-housing,D10,D2,52805.02856
Single-family,D,Electricity,Social-housing,D10,D2,12319.58356
Multi-family,D,Electricity,Owner-occupied,D2,D2,21122.65013
Single-family,D,Electricity,Owner-occupied,D2,D2,60152.91877
Multi-family,D,Electricity,Social-housing,D10,D3,37083.18312
Single-family,D,Electricity,Social-housing,D10,D3,10380.81111
Multi-family,D,Electricity,Owner-occupied,D3,D3,24489.01524
Single-family,D,Electricity,Owner-occupied,D3,D3,92772.0709
Multi-family,D,Electricity,Social-housing,D10,D4,31471.11806
Single-family,D,Electricity,Social-housing,D10,D4,9028.321313
Multi-family,D,Electricity,Owner-occupied,D4,D4,30678.65905
Single-family,D,Electricity,Owner-occupied,D4,D4,115405.2609
Multi-family,D,Electricity,Social-housing,D10,D5,26634.71638
Single-family,D,Electricity,Social-housing,D10,D5,7091.372298
Multi-family,D,Electricity,Owner-occupied,D5,D5,36201.45772
Single-family,D,Electricity,Owner-occupied,D5,D5,134343.4845
Multi-family,D,Electricity,Social-housing,D10,D6,20232.69732
Single-family,D,Electricity,Social-housing,D10,D6,5141.495315
Multi-family,D,Electricity,Owner-occupied,D6,D6,41886.7762
Single-family,D,Electricity,Owner-occupied,D6,D6,152654.8973
Multi-family,D,Electricity,Social-housing,D10,D7,16400.69447
Single-family,D,Electricity,Social-housing,D10,D7,3911.891379
Multi-family,D,Electricity,Owner-occupied,D7,D7,48839.89931
Single-family,D,Electricity,Owner-occupied,D7,D7,167072.2112
Multi-family,D,Electricity,Social-housing,D10,D8,12694.27556
Single-family,D,Electricity,Social-housing,D10,D8,2500.045422
Multi-family,D,Electricity,Owner-occupied,D8,D8,59142.99965
Single-family,D,Electricity,Owner-occupied,D8,D8,182832.1393
Multi-family,D,Electricity,Social-housing,D10,D9,8976.601727
Single-family,D,Electricity,Social-housing,D10,D9,1452.467378
Multi-family,D,Electricity,Owner-occupied,D9,D9,69578.82487
Single-family,D,Electricity,Owner-occupied,D9,D9,195546.9605
Multi-family,D,Electricity,Social-housing,D10,D10,5189.296297
Single-family,D,Electricity,Social-housing,D10,D10,380.8951629
Multi-family,D,Electricity,Owner-occupied,D10,D10,93028.31983
Single-family,D,Electricity,Owner-occupied,D10,D10,182487.6733
Multi-family,D,Natural gas,Social-housing,D10,D1,211806.9728
Single-family,D,Natural gas,Social-housing,D10,D1,29581.42104
Multi-family,D,Natural gas,Owner-occupied,D1,D1,29695.48157
Single-family,D,Natural gas,Owner-occupied,D1,D1,56234.62906
Multi-family,D,Natural gas,Social-housing,D10,D2,194134.7871
Single-family,D,Natural gas,Social-housing,D10,D2,36573.77656
Multi-family,D,Natural gas,Owner-occupied,D2,D2,36535.78419
Single-family,D,Natural gas,Owner-occupied,D2,D2,74826.25841
Multi-family,D,Natural gas,Social-housing,D10,D3,129276.033
Single-family,D,Natural gas,Social-housing,D10,D3,30143.30518
Multi-family,D,Natural gas,Owner-occupied,D3,D3,46755.51975
Single-family,D,Natural gas,Owner-occupied,D3,D3,112833.2199
Multi-family,D,Natural gas,Social-housing,D10,D4,110603.6071
Single-family,D,Natural gas,Social-housing,D10,D4,26006.0899
Multi-family,D,Natural gas,Owner-occupied,D4,D4,56768.52853
Single-family,D,Natural gas,Owner-occupied,D4,D4,138457.552
Multi-family,D,Natural gas,Social-housing,D10,D5,87152.68539
Single-family,D,Natural gas,Social-housing,D10,D5,20506.16122
Multi-family,D,Natural gas,Owner-occupied,D5,D5,65174.86673
Single-family,D,Natural gas,Owner-occupied,D5,D5,157657.3624
Multi-family,D,Natural gas,Social-housing,D10,D6,66617.94252
Single-family,D,Natural gas,Social-housing,D10,D6,16179.51222
Multi-family,D,Natural gas,Owner-occupied,D6,D6,74833.85458
Single-family,D,Natural gas,Owner-occupied,D6,D6,174351.7438
Multi-family,D,Natural gas,Social-housing,D10,D7,53015.21377
Single-family,D,Natural gas,Social-housing,D10,D7,11823.65845
Multi-family,D,Natural gas,Owner-occupied,D7,D7,84507.11869
Single-family,D,Natural gas,Owner-occupied,D7,D7,187885.6242
Multi-family,D,Natural gas,Social-housing,D10,D8,38456.77262
Single-family,D,Natural gas,Social-housing,D10,D8,8546.10632
Multi-family,D,Natural gas,Owner-occupied,D8,D8,101520.3651
Single-family,D,Natural gas,Owner-occupied,D8,D8,207704.315
Multi-family,D,Natural gas,Social-housing,D10,D9,27493.28482
Single-family,D,Natural gas,Social-housing,D10,D9,4640.765187
Multi-family,D,Natural gas,Owner-occupied,D9,D9,125436.3718
Single-family,D,Natural gas,Owner-occupied,D9,D9,231365.9859
Multi-family,D,Natural gas,Social-housing,D10,D10,13107.49567
Single-family,D,Natural gas,Social-housing,D10,D10,1599.836622
Multi-family,D,Natural gas,Owner-occupied,D10,D10,187326.8782
Single-family,D,Natural gas,Owner-occupied,D10,D10,231734.2862
Multi-family,E,Electricity,Social-housing,D10,D1,49512.21741
Single-family,E,Electricity,Social-housing,D10,D1,14742.75957
Multi-family,E,Electricity,Owner-occupied,D1,D1,15750.03149
Single-family,E,Electricity,Owner-occupied,D1,D1,33268.16401
Multi-family,E,Electricity,Social-housing,D10,D2,45518.45262
Single-family,E,Electricity,Social-housing,D10,D2,20176.47262
Multi-family,E,Electricity,Owner-occupied,D2,D2,17257.29453
Single-family,E,Electricity,Owner-occupied,D2,D2,54559.98827
Multi-family,E,Electricity,Social-housing,D10,D3,31212.94018
Single-family,E,Electricity,Social-housing,D10,D3,17012.43955
Multi-family,E,Electricity,Owner-occupied,D3,D3,20299.21098
Single-family,E,Electricity,Owner-occupied,D3,D3,87689.98188
Multi-family,E,Electricity,Social-housing,D10,D4,27397.57739
Single-family,E,Electricity,Social-housing,D10,D4,15564.54426
Multi-family,E,Electricity,Owner-occupied,D4,D4,25322.6106
Single-family,E,Electricity,Owner-occupied,D4,D4,108714.3734
Multi-family,E,Electricity,Social-housing,D10,D5,22213.06972
Single-family,E,Electricity,Social-housing,D10,D5,12156.03645
Multi-family,E,Electricity,Owner-occupied,D5,D5,30021.25859
Single-family,E,Electricity,Owner-occupied,D5,D5,124529.6724
Multi-family,E,Electricity,Social-housing,D10,D6,17314.58046
Single-family,E,Electricity,Social-housing,D10,D6,9309.082707
Multi-family,E,Electricity,Owner-occupied,D6,D6,34082.12754
Single-family,E,Electricity,Owner-occupied,D6,D6,140328.0925
Multi-family,E,Electricity,Social-housing,D10,D7,13932.89315
Single-family,E,Electricity,Social-housing,D10,D7,6951.950174
Multi-family,E,Electricity,Owner-occupied,D7,D7,38790.82174
Single-family,E,Electricity,Owner-occupied,D7,D7,151543.5926
Multi-family,E,Electricity,Social-housing,D10,D8,10609.43257
Single-family,E,Electricity,Social-housing,D10,D8,4476.729432
Multi-family,E,Electricity,Owner-occupied,D8,D8,45088.26683
Single-family,E,Electricity,Owner-occupied,D8,D8,164671.6219
Multi-family,E,Electricity,Social-housing,D10,D9,7655.695407
Single-family,E,Electricity,Social-housing,D10,D9,2507.201339
Multi-family,E,Electricity,Owner-occupied,D9,D9,52587.56519
Single-family,E,Electricity,Owner-occupied,D9,D9,173461.4901
Multi-family,E,Electricity,Social-housing,D10,D10,4518.100438
Single-family,E,Electricity,Social-housing,D10,D10,766.0880084
Multi-family,E,Electricity,Owner-occupied,D10,D10,66784.65787
Single-family,E,Electricity,Owner-occupied,D10,D10,153581.0582
Multi-family,E,Natural gas,Social-housing,D10,D1,71325.78377
Single-family,E,Natural gas,Social-housing,D10,D1,12907.81865
Multi-family,E,Natural gas,Owner-occupied,D1,D1,16453.52999
Single-family,E,Natural gas,Owner-occupied,D1,D1,41878.1484
Multi-family,E,Natural gas,Social-housing,D10,D2,63325.27619
Single-family,E,Natural gas,Social-housing,D10,D2,14220.55566
Multi-family,E,Natural gas,Owner-occupied,D2,D2,18781.46586
Single-family,E,Natural gas,Owner-occupied,D2,D2,57057.35102
Multi-family,E,Natural gas,Social-housing,D10,D3,42138.29822
Single-family,E,Natural gas,Social-housing,D10,D3,12509.0935
Multi-family,E,Natural gas,Owner-occupied,D3,D3,24031.92277
Single-family,E,Natural gas,Owner-occupied,D3,D3,84798.74251
Multi-family,E,Natural gas,Social-housing,D10,D4,36237.93285
Single-family,E,Natural gas,Social-housing,D10,D4,9981.67113
Multi-family,E,Natural gas,Owner-occupied,D4,D4,28634.60599
Single-family,E,Natural gas,Owner-occupied,D4,D4,102530.1323
Multi-family,E,Natural gas,Social-housing,D10,D5,28318.9895
Single-family,E,Natural gas,Social-housing,D10,D5,7337.25909
Multi-family,E,Natural gas,Owner-occupied,D5,D5,32873.50862
Single-family,E,Natural gas,Owner-occupied,D5,D5,113746.92
Multi-family,E,Natural gas,Social-housing,D10,D6,21447.66391
Single-family,E,Natural gas,Social-housing,D10,D6,5492.327353
Multi-family,E,Natural gas,Owner-occupied,D6,D6,37195.6846
Single-family,E,Natural gas,Owner-occupied,D6,D6,120349.4062
Multi-family,E,Natural gas,Social-housing,D10,D7,17257.57094
Single-family,E,Natural gas,Social-housing,D10,D7,3871.481064
Multi-family,E,Natural gas,Owner-occupied,D7,D7,41121.80065
Single-family,E,Natural gas,Owner-occupied,D7,D7,124006.5513
Multi-family,E,Natural gas,Social-housing,D10,D8,12462.86592
Single-family,E,Natural gas,Social-housing,D10,D8,2794.136772
Multi-family,E,Natural gas,Owner-occupied,D8,D8,48926.36393
Single-family,E,Natural gas,Owner-occupied,D8,D8,133380.4218
Multi-family,E,Natural gas,Social-housing,D10,D9,9465.976603
Single-family,E,Natural gas,Social-housing,D10,D9,1416.056098
Multi-family,E,Natural gas,Owner-occupied,D9,D9,58101.19003
Single-family,E,Natural gas,Owner-occupied,D9,D9,143441.4565
Multi-family,E,Natural gas,Social-housing,D10,D10,5192.639937
Single-family,E,Natural gas,Social-housing,D10,D10,567.9661597
Multi-family,E,Natural gas,Owner-occupied,D10,D10,85837.28771
Single-family,E,Natural gas,Owner-occupied,D10,D10,139795.6675
Multi-family,F,Electricity,Social-housing,D10,D1,21364.034
Single-family,F,Electricity,Social-housing,D10,D1,6035.862143
Multi-family,F,Electricity,Owner-occupied,D1,D1,11571.89359
Single-family,F,Electricity,Owner-occupied,D1,D1,22610.57962
Multi-family,F,Electricity,Social-housing,D10,D2,17864.91293
Single-family,F,Electricity,Social-housing,D10,D2,7640.040548
Multi-family,F,Electricity,Owner-occupied,D2,D2,8602.815781
Single-family,F,Electricity,Owner-occupied,D2,D2,29395.84782
Multi-family,F,Electricity,Social-housing,D10,D3,12267.06761
Single-family,F,Electricity,Social-housing,D10,D3,6598.879891
Multi-family,F,Electricity,Owner-occupied,D3,D3,9771.823223
Single-family,F,Electricity,Owner-occupied,D3,D3,44664.36958
Multi-family,F,Electricity,Social-housing,D10,D4,10497.3582
Single-family,F,Electricity,Social-housing,D10,D4,5882.768012
Multi-family,F,Electricity,Owner-occupied,D4,D4,11131.44464
Single-family,F,Electricity,Owner-occupied,D4,D4,52789.77711
Multi-family,F,Electricity,Social-housing,D10,D5,8546.64505
Single-family,F,Electricity,Social-housing,D10,D5,4656.954194
Multi-family,F,Electricity,Owner-occupied,D5,D5,13027.07168
Single-family,F,Electricity,Owner-occupied,D5,D5,57681.3957
Multi-family,F,Electricity,Social-housing,D10,D6,6534.428248
Single-family,F,Electricity,Social-housing,D10,D6,3551.293305
Multi-family,F,Electricity,Owner-occupied,D6,D6,14848.24833
Single-family,F,Electricity,Owner-occupied,D6,D6,61542.69158
Multi-family,F,Electricity,Social-housing,D10,D7,5305.103927
Single-family,F,Electricity,Social-housing,D10,D7,2634.922141
Multi-family,F,Electricity,Owner-occupied,D7,D7,16773.37225
Single-family,F,Electricity,Owner-occupied,D7,D7,63430.31353
Multi-family,F,Electricity,Social-housing,D10,D8,4091.581409
Single-family,F,Electricity,Social-housing,D10,D8,1716.096767
Multi-family,F,Electricity,Owner-occupied,D8,D8,19584.48639
Single-family,F,Electricity,Owner-occupied,D8,D8,65374.81217
Multi-family,F,Electricity,Social-housing,D10,D9,3233.520152
Single-family,F,Electricity,Social-housing,D10,D9,1004.838155
Multi-family,F,Electricity,Owner-occupied,D9,D9,25183.14587
